Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Hep A,≥2 Doses,States/Local Areas,NY-Rest of state,2016-2019,Insurance Coverage,Any Medicaid,68.2,57.9 to 78.4,223
Hep A,≥2 Doses,States/Local Areas,Nebraska,2016-2019,Insurance Coverage,Any Medicaid,79.9,73.2 to 86.6,300
Hep A,≥2 Doses,States/Local Areas,Nevada,2016-2019,Insurance Coverage,Any Medicaid,77.4,70.6 to 84.2,511
Hep A,≥2 Doses,States/Local Areas,New Hampshire,2016-2019,Insurance Coverage,Any Medicaid,77.2,69.2 to 85.3,275
Hep A,≥2 Doses,States/Local Areas,New Jersey,2016-2019,Insurance Coverage,Any Medicaid,78.1,66.3 to 89.9,286
Hep A,≥2 Doses,States/Local Areas,New Mexico,2016-2019,Insurance Coverage,Any Medicaid,77.2,71.4 to 83.0,900
Hep A,≥2 Doses,States/Local Areas,New York,2016-2019,Insurance Coverage,Any Medicaid,70.4,64.5 to 76.4,701
Hep A,≥2 Doses,States/Local Areas,North Carolina,2016-2019,Insurance Coverage,Any Medicaid,68.7,58.9 to 78.5,379
Hep A,≥2 Doses,States/Local Areas,North Dakota,2016-2019,Insurance Coverage,Any Medicaid,76.8,67.8 to 85.7,236
Hep A,≥2 Doses,States/Local Areas,Ohio,2016-2019,Insurance Coverage,Any Medicaid,78.5,71.2 to 85.9,412
Hep A,≥2 Doses,States/Local Areas,Oklahoma,2016-2019,Insurance Coverage,Any Medicaid,75,69.1 to 80.9,453
Hep A,≥2 Doses,States/Local Areas,Oregon,2016-2019,Insurance Coverage,Any Medicaid,76.3,68.9 to 83.6,342
Hep A,≥2 Doses,States/Local Areas,PA-Philadelphia,2016-2019,Insurance Coverage,Any Medicaid,78.5,71.7 to 85.2,421
Hep A,≥2 Doses,States/Local Areas,PA-Rest of state,2016-2019,Insurance Coverage,Any Medicaid,79.8,72.0 to 87.6,383
Hep A,≥2 Doses,States/Local Areas,Pennsylvania,2016-2019,Insurance Coverage,Any Medicaid,79.5,73.2 to 85.8,804
Hep A,≥2 Doses,States/Local Areas,Rhode Island,2016-2019,Insurance Coverage,Any Medicaid,86.4,80.4 to 92.3,349
Hep A,≥2 Doses,States/Local Areas,South Carolina,2016-2019,Insurance Coverage,Any Medicaid,82.6,75.6 to 89.7,415
Hep A,≥2 Doses,States/Local Areas,South Dakota,2016-2019,Insurance Coverage,Any Medicaid,72,63.3 to 80.7,324
Hep A,≥2 Doses,States/Local Areas,TX-Bexar County,2016-2019,Insurance Coverage,Any Medicaid,82,75.0 to 89.0,360
Hep A,≥2 Doses,States/Local Areas,TX-City of Houston,2016-2019,Insurance Coverage,Any Medicaid,75.9,68.6 to 83.2,311
Hep A,≥2 Doses,States/Local Areas,TX-Dallas County,2016-2019,Insurance Coverage,Any Medicaid,73.1,59.0 to 87.1,89
Hep A,≥2 Doses,States/Local Areas,TX-El Paso County,2016-2019,Insurance Coverage,Any Medicaid,87.9,77.3 to 98.6,113
Hep A,≥2 Doses,States/Local Areas,TX-Rest of state,2016-2019,Insurance Coverage,Any Medicaid,84.7,78.5 to 90.9,709
Hep A,≥2 Doses,States/Local Areas,Tennessee,2016-2019,Insurance Coverage,Any Medicaid,82.6,73.6 to 91.6,469
Hep A,≥2 Doses,States/Local Areas,Texas,2016-2019,Insurance Coverage,Any Medicaid,83,78.3 to 87.6,1780
Hep A,≥2 Doses,States/Local Areas,Utah,2016-2019,Insurance Coverage,Any Medicaid,85,69.8 to 100.0,205
Hep A,≥2 Doses,States/Local Areas,Vermont,2016-2019,Insurance Coverage,Any Medicaid,73,66.8 to 79.1,497
Hep A,≥2 Doses,States/Local Areas,Virginia,2016-2019,Insurance Coverage,Any Medicaid,71.8,61.6 to 81.9,213
Hep A,≥2 Doses,States/Local Areas,Washington,2016-2019,Insurance Coverage,Any Medicaid,75.2,68.8 to 81.6,512
Hep A,≥2 Doses,States/Local Areas,West Virginia,2016-2019,Insurance Coverage,Any Medicaid,73.4,67.2 to 79.6,444
Hep A,≥2 Doses,States/Local Areas,Wisconsin,2016-2019,Insurance Coverage,Any Medicaid,71.9,61.1 to 82.7,301
Hep A,≥2 Doses,States/Local Areas,Wyoming,2016-2019,Insurance Coverage,Any Medicaid,67.6,56.4 to 78.9,276
Hep A,≥2 Doses,States/Local Areas,Alabama,2016-2019,Insurance Coverage,Other,75.8,60.5 to 91.2,68
Hep A,≥2 Doses,States/Local Areas,Alaska,2016-2019,Insurance Coverage,Other,80.7,64.3 to 97.1,59
Hep A,≥2 Doses,States/Local Areas,Arizona,2016-2019,Insurance Coverage,Other,62.9,40.6 to 85.1,48
Hep A,≥2 Doses,States/Local Areas,Arkansas,2016-2019,Insurance Coverage,Other,71.3,58.4 to 84.1,181
Hep A,≥2 Doses,States/Local Areas,California,2016-2019,Insurance Coverage,Other,83.4,58.4 to 100.0,36
Hep A,≥2 Doses,States/Local Areas,Colorado,2016-2019,Insurance Coverage,Other,73.8,51.8 to 95.8,38
Hep A,≥2 Doses,States/Local Areas,Connecticut,2016-2019,Insurance Coverage,Other,81,68.8 to 93.3,98
Hep A,≥2 Doses,States/Local Areas,Delaware,2016-2019,Insurance Coverage,Other,100,,32
≥1 Dose Varicella,,States/Local Areas,Hawaii,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",87.4,83.7 to 91.1,541
≥1 Dose Varicella,,States/Local Areas,IL-City of Chicago,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",98.7,96.3 to 100.0,77
≥1 Dose Varicella,,States/Local Areas,IL-Rest of state,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",91.1,85.8 to 96.4,196
≥1 Dose Varicella,,States/Local Areas,Idaho,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",83.5,70.6 to 96.4,91
≥1 Dose Varicella,,States/Local Areas,Illinois,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",92.6,88.1 to 97.2,273
≥1 Dose Varicella,,States/Local Areas,Indiana,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",90.4,82.2 to 98.7,115
≥1 Dose Varicella,,States/Local Areas,Iowa,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",93.5,86.1 to 100.0,83
≥1 Dose Varicella,,States/Local Areas,Kansas,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",85.7,77.6 to 93.9,155
≥1 Dose Varicella,,States/Local Areas,Kentucky,2016-2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",85.7,75.7 to 95.7,91
