vaccine,dose,geography_type,geography,birth_year_birth_cohort,dimension_type,dimension,estimate_percent,x95_percent_ci_percent,sample_size,year
DTaP,≥4 Doses,States/Local Areas,Ohio,2018,Age,24 Months,77.2,70.2 to 83.5,406,2020
DTaP,≥4 Doses,States/Local Areas,Ohio,2019,Age,24 Months,84.8,78.8 to 89.9,384,2021
DTaP,≥4 Doses,States/Local Areas,Ohio,2020,Age,24 Months,83.5,78.4 to 88.0,484,2022
DTaP,≥4 Doses,States/Local Areas,Ohio,2021,Age,24 Months,85.6,80.4 to 90.1,418,2023
DTaP,≥4 Doses,States/Local Areas,Ohio,2022,Age,24 Months,84.9,78.3 to 90.4,237,2024
DTaP,≥4 Doses,States/Local Areas,Oklahoma,2018,Age,24 Months,74.3,66.5 to 81.6,194,2020
DTaP,≥4 Doses,States/Local Areas,Oklahoma,2019,Age,24 Months,75.5,67.4 to 82.8,205,2021
DTaP,≥4 Doses,States/Local Areas,Oklahoma,2020,Age,24 Months,75.5,69.1 to 81.6,298,2022
DTaP,≥4 Doses,States/Local Areas,Oklahoma,2021,Age,24 Months,74.1,67.7 to 80.2,236,2023
DTaP,≥4 Doses,States/Local Areas,Oklahoma,2022,Age,24 Months,74.6,62.8 to 85.0,120,2024
DTaP,≥4 Doses,States/Local Areas,Oregon,2018,Age,24 Months,83.5,77.7 to 88.5,290,2020
DTaP,≥4 Doses,States/Local Areas,Oregon,2019,Age,24 Months,80.4,73.4 to 86.6,264,2021
DTaP,≥4 Doses,States/Local Areas,Oregon,2020,Age,24 Months,78.6,71.4 to 85.1,220,2022
DTaP,≥4 Doses,States/Local Areas,Oregon,2021,Age,24 Months,78.7,72.7 to 84.2,255,2023
DTaP,≥4 Doses,States/Local Areas,Oregon,2022,Age,24 Months,84,75.8 to 90.7,152,2024
DTaP,≥4 Doses,States/Local Areas,Pennsylvania,2018,Age,24 Months,83.4,78.0 to 88.1,650,2020
DTaP,≥4 Doses,States/Local Areas,Pennsylvania,2019,Age,24 Months,82.9,77.9 to 87.3,641,2021
DTaP,≥4 Doses,States/Local Areas,Pennsylvania,2020,Age,24 Months,76.4,70.8 to 81.7,655,2022
DTaP,≥4 Doses,States/Local Areas,Pennsylvania,2021,Age,24 Months,84.1,79.8 to 87.9,668,2023
DTaP,≥4 Doses,States/Local Areas,Pennsylvania,2022,Age,24 Months,84,78.2 to 88.9,359,2024
DTaP,≥4 Doses,States/Local Areas,Rhode Island,2018,Age,24 Months,87.6,81.7 to 92.3,225,2020
DTaP,≥4 Doses,States/Local Areas,Rhode Island,2019,Age,24 Months,87.9,82.5 to 92.3,277,2021
DTaP,≥4 Doses,States/Local Areas,Rhode Island,2020,Age,24 Months,89,84.3 to 92.8,301,2022
DTaP,≥4 Doses,States/Local Areas,Rhode Island,2021,Age,24 Months,92.5,88.4 to 95.6,354,2023
DTaP,≥4 Doses,States/Local Areas,Rhode Island,2022,Age,24 Months,87.7,80.9 to 92.9,201,2024
DTaP,≥4 Doses,States/Local Areas,South Carolina,2018,Age,24 Months,80.6,73.7 to 86.7,244,2020
DTaP,≥4 Doses,States/Local Areas,South Carolina,2019,Age,24 Months,84.2,77.6 to 89.7,245,2021
DTaP,≥4 Doses,States/Local Areas,South Carolina,2020,Age,24 Months,75.8,67.9 to 83.0,243,2022
DTaP,≥4 Doses,States/Local Areas,South Carolina,2021,Age,24 Months,81.5,75.7 to 86.6,300,2023
DTaP,≥4 Doses,States/Local Areas,South Carolina,2022,Age,24 Months,86.5,78.8 to 92.4,160,2024
DTaP,≥4 Doses,States/Local Areas,South Dakota,2018,Age,24 Months,83.5,78.2 to 88.2,390,2020
DTaP,≥4 Doses,States/Local Areas,South Dakota,2019,Age,24 Months,77.4,71.1 to 83.3,318,2021
DTaP,≥4 Doses,States/Local Areas,South Dakota,2020,Age,24 Months,67.7,59.4 to 75.7,289,2022
DTaP,≥4 Doses,States/Local Areas,South Dakota,2021,Age,24 Months,73.3,65.2 to 80.9,279,2023
DTaP,≥4 Doses,States/Local Areas,South Dakota,2022,Age,24 Months,78.7,68.9 to 87.1,145,2024
DTaP,≥4 Doses,States/Local Areas,Tennessee,2018,Age,24 Months,81.6,75.6 to 86.9,410,2020
DTaP,≥4 Doses,States/Local Areas,Tennessee,2019,Age,24 Months,79.6,73.7 to 84.8,396,2021
DTaP,≥4 Doses,States/Local Areas,Tennessee,2020,Age,24 Months,83.1,76.5 to 88.8,363,2022
DTaP,≥4 Doses,States/Local Areas,Tennessee,2021,Age,24 Months,81.3,75.6 to 86.4,336,2023
DTaP,≥4 Doses,States/Local Areas,Tennessee,2022,Age,24 Months,80.7,72.6 to 87.6,182,2024
DTaP,≥4 Doses,States/Local Areas,Texas,2018,Age,24 Months,78.7,74.7 to 82.6,1065,2020
DTaP,≥4 Doses,States/Local Areas,Texas,2019,Age,24 Months,79.4,74.9 to 83.5,919,2021
DTaP,≥4 Doses,States/Local Areas,Texas,2020,Age,24 Months,76.6,70.6 to 82.2,795,2022
DTaP,≥4 Doses,States/Local Areas,Texas,2021,Age,24 Months,80.9,76.4 to 85.0,814,2023
DTaP,≥4 Doses,States/Local Areas,Texas,2022,Age,24 Months,79.9,74.1 to 85.2,541,2024
DTaP,≥4 Doses,HHS Regions/National,United States,2018,Age,24 Months,82.3,81.2 to 83.4,18826,2020
DTaP,≥4 Doses,HHS Regions/National,United States,2019,Age,24 Months,81.3,80.1 to 82.5,17265,2021
DTaP,≥4 Doses,HHS Regions/National,United States,2020,Age,24 Months,79.6,78.2 to 80.9,17387,2022
DTaP,≥4 Doses,HHS Regions/National,United States,2021,Age,24 Months,80.4,79.2 to 81.5,17612,2023
DTaP,≥4 Doses,HHS Regions/National,United States,2022,Age,24 Months,80.9,79.3 to 82.5,9780,2024
DTaP,≥4 Doses,States/Local Areas,Utah,2018,Age,24 Months,88.2,82.6 to 92.7,298,2020
DTaP,≥4 Doses,States/Local Areas,Utah,2019,Age,24 Months,86.7,82.2 to 90.6,330,2021
DTaP,≥4 Doses,States/Local Areas,Utah,2020,Age,24 Months,84,79.1 to 88.3,333,2022
DTaP,≥4 Doses,States/Local Areas,Utah,2021,Age,24 Months,82.2,76.7 to 87.1,332,2023
DTaP,≥4 Doses,States/Local Areas,Utah,2022,Age,24 Months,84.6,76.6 to 91.0,149,2024
DTaP,≥4 Doses,States/Local Areas,Vermont,2018,Age,24 Months,87.2,82.3 to 91.3,340,2020
DTaP,≥4 Doses,States/Local Areas,Vermont,2019,Age,24 Months,88.2,83.6 to 92.0,334,2021
DTaP,≥4 Doses,States/Local Areas,Vermont,2020,Age,24 Months,86.6,81.3 to 91.0,307,2022
DTaP,≥4 Doses,States/Local Areas,Vermont,2021,Age,24 Months,85.1,77.2 to 91.4,281,2023
DTaP,≥4 Doses,States/Local Areas,Vermont,2022,Age,24 Months,89.2,82.0 to 94.4,187,2024
DTaP,≥4 Doses,States/Local Areas,Virginia,2018,Age,24 Months,81.5,74.8 to 87.4,551,2020
DTaP,≥4 Doses,States/Local Areas,Virginia,2019,Age,24 Months,84.7,78.5 to 89.8,452,2021
DTaP,≥4 Doses,States/Local Areas,Virginia,2020,Age,24 Months,79.4,72.9 to 85.2,494,2022
DTaP,≥4 Doses,States/Local Areas,Virginia,2021,Age,24 Months,78.7,73.0 to 83.9,450,2023
DTaP,≥4 Doses,States/Local Areas,Virginia,2022,Age,24 Months,79.7,72.4 to 86.0,241,2024
DTaP,≥4 Doses,States/Local Areas,Washington,2018,Age,24 Months,86.2,81.5 to 90.2,492,2020
DTaP,≥4 Doses,States/Local Areas,Washington,2019,Age,24 Months,82.5,77.6 to 86.8,455,2021
DTaP,≥4 Doses,States/Local Areas,Washington,2020,Age,24 Months,81.1,75.9 to 85.7,445,2022
