Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Poverty,>400% FPL,87.3,82.8 to 91.8,267
Hib,Primary Series,States/Local Areas,North Dakota,2012,Age,7 Months,73.8,67.2 to 79.5,294
Hep A,≥1 Dose,States/Local Areas,North Dakota,2017,Age,35 Months,93.8,87.8 to 97.4,298
Hep A,≥1 Dose,States/Local Areas,North Dakota,2017-2018,Age,35 Months,94.1,90.2 to 96.9,591
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,Hispanic,78.1,63.6 to 92.6,48
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",84.5,77.1 to 91.9,123
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"White, Non-Hispanic",86.7,83.3 to 90.1,637
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Principal City,85.4,80.0 to 90.7,285
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a MSA Principal City,92.4,87.2 to 97.6,285
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,Hispanic,86,73.7 to 98.2,48
Hep A,≥2 Doses,States/Local Areas,North Dakota,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",83.6,71.5 to 95.7,123
≥1 Dose Varicella,,States/Local Areas,North Dakota,2011,Age,13 Months,58,54.7 to 61.3,299
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Overall,Overall,84.7,81.6 to 87.8,830
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Urbanicity,Living In a Non-MSA,86.1,82.1 to 90.0,421
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Poverty,<133% FPL,80.8,73.7 to 87.8,155
Hib,Full Series,States/Local Areas,North Dakota,2014-2017,Poverty,133% to <400% FPL,84.8,80.1 to 89.5,408
Hep A,≥1 Dose,States/Local Areas,North Dakota,2016,Age,35 Months,93.2,88.2 to 96.5,227
Hep A,≥1 Dose,States/Local Areas,North Dakota,2016-2017,Age,35 Months,93.8,89.9 to 96.6,525
Hep A,≥2 Doses,States/Local Areas,North Dakota,2013,Age,35 Months,84.2,75.3 to 91.2,237
Hep A,≥2 Doses,States/Local Areas,North Dakota,2013-2014,Age,35 Months,85.2,79.6 to 90.0,467
Hep A,≥2 Doses,States/Local Areas,North Dakota,2012,Age,35 Months,71.6,62.4 to 80.3,294
Hep A,≥2 Doses,States/Local Areas,North Dakota,2011,Age,35 Months,77.4,66.2 to 87.0,299
Hep A,≥2 Doses,States/Local Areas,North Dakota,2019,Age,24 Months,66.7,58.9 to 74.4,263
Hep B,≥3 Doses,States/Local Areas,North Dakota,2016,Age,7 Months,80.7,74.1 to 86.0,227
