state,bill_number,1_include_in_brief,1_enacted_0_not_enacted,1_good_0_bad,text_description,comments
Kansas,KS HB 2263,0,0,0,"Authorizing pharmacy technicians to administer certain vaccines, creating a civil cause of action against a physician and requiring revocation of a physician's license who performs a childhood gender reassignment service",Died in committee in the 2023-2024 legislative session.
Kansas,KS SB 2007,0,0,0,Prohibiting the secretary of health and environment from requiring COVID-19 vaccination for care at child care facility or attendance at school.,Failed to pass in the 2023-2024 legislative session.
Kansas,KS SB 315,1,0,0,Would require child care facilities and educational institutions to grant exemptions from vaccine requirements without inquiring into the sincerity of the request,Failed to pass in the 2023-2024 legislative session.
Kansas,KS SB 19,1,0,0,Would provide right to refuse vaccines for reasons of conscience,
Kansas,KS HB 2369,1,0,1,Would allow pharmacists to order and administer FDA-approved vaccines for individuals 7 years and older,
Kansas,KS HB 2045,1,1,0,Changes religious vaccine exemptions for childcare facilities to loosen exemption procedures for parents with “sincerely held” religious beliefs,
Kentucky,KY HB 177,0,0,0,"Prohibiting the state, any political subdivision of the state, or any governmental agency requiring a child to receive a COVID-19 vaccination",Died in committee in the 2024 legislative session
Kentucky,KY HB 274,0,1,1,Permits pharmacists to administer vaccines to children five years or older pursuant to prescriber-approved protocols with the consent of a parent or guardian.,Passed in the 2024 legislative session
Kentucky,KY HB 629,1,0,0,Would prohibit health care providers from refusing to treat people who have not received a particular vaccine,
Kentucky,KY HB 110,1,0,0,Would expand non-medical vaccination exemptions to allow for conscientious objection,
Kentucky,KY HB 695,1,0,1,"Would prohibit insurers from imposing cost-sharing requirements on preventive services, including routine immunizations",
Louisiana,LA HB 629,1,0,0,Would add steps to process to obtain informed consent before vaccine administration,
Kentucky,KY SB 295,0,0,0,"Prohibit a requirement for any individual to receive a COVID-19 vaccine, modified ModRNA vaccine, or mRNA vaccine for the purpose of student enrollment, employment, or medical treatment in the Commonwealth",Died in committee in the 2024 legislative session
Louisiana,LA HB 400,0,0,0,"Would specify that informed parental consent is necessary for any medical treatment, including vaccination, for minors under 18.",Died in committee
Louisiana,LA HB 47,1,1,0,Requires that communication issued about immunization requirements include information about exemptions,
Louisiana,LA HB 655,1,1,0,Increases the patient's fee for vaccines at public health units from $10 to $50,NA
Louisiana,LA HR 314,1,1,1,Urges Department of Health to improve access to immunization services in rural and low-income communities,
Louisiana,LA HR 292,1,1,0,Urges Department of Health to study relationship between sudden unexpected deaths of infants and children and the administration of vaccinations,
Louisiana,LA HB 690,NA,1,0,Authorize surgeon general to promulgate new rules regarding administration of products under Emergency Use Authorization (EUA) - including vaccines,NA
Louisiana,LA HB 866,0,0,NA,"Prohibits employment termination, denying of public services, segregation, discrimination, and penalties against someone who refused vaccination",Failed
Louisiana,LA HCR 3,0,0,0,Repeals the COVID-19 vaccine requirement to attend school,Died in committee
Louisiana,LA HR 214,NA,1,0,"Require the attorney general to investigate whether certain corporations violated any laws in the production, distribution, or sale of COVID-19 vaccinations.",NA
Maine,ME HB 107,1,0,0,Would restore religious exemptions to immunization requirements,Failed to passed
Maine,ME LD 1883,1,0,1,"Would establish Maine Health Plan for all residents, covering all childhood and adult vaccinations",Failed to passed
Maine,ME SB 478,1,1,1,Allows pharmacists to administer vaccines to children 3 years and older with a prescription,
Maine,ME HB 956,0,0,0,Sought to include vaccination as a protected class,
Maine,ME HB 727,1,0,0,Repeals certain immunization requirements for a child to attend a public or private elementary or secondary school in the state,
Maine,ME L D436 (HP 290),0,0,0,Prohibiting state agencies from promoting COVID-19 vaccine in any medium to children,Failed to passed
Maine,ME LD 917 (HP 852),0,1,0,Repeals a provision of law stating that healthcare providers can't charge uninsured patients for COVID-19 vaccines,NA
Maryland,MD HB 1315,0,1,1,Requires health insurers to cover all costs associated with childhood and adolescent immunizations.,NA
Maryland,MD HB 286,NA,1,NA,"Delays the effective date of certain provisions of law that repeal the authority of paramedics to administer influenza and COVID-19 immunization under certain circumstances, relates to the authority of paramedics to administer immunizations.",NA
Maryland,MD HB 608,1,0,0,Would require county board of education to grant students temporary admission to schools if parent is unable to provide proof of immunization,Died in committee
Maryland,MD HB 76 & MD SB 18,0,1,NA,"Pharmacists with appropriate training and qualifications can provide an influenza vaccine, COVID-19 vaccine, and any other vaccine ""used in response to a public health emergency"" to those 3 years and older",NA
Maryland,MD HB 974,1,1,1,Allows the health commissioner to adopt regulations as needed to ensure that health insurers cover all vaccines recommended by the Advisory Committee on Immunization Practices (ACIP) as of December 2024.,NA
Maryland,MD HB 184,1,0,1,"Would establish Healthy Maryland Program, which would provide comprehensive, universal health care services for state residents, including immunizations",
Maryland,MD SB 378,0,0,1,Would authorize minors who are at least 14 years old to consent to vaccination under certain circumstances,
